freq(1/um),P(a.u.)
1.665392367118307515e+00,-4.862104642511244634e-16
1.666213769025640890e+00,-1.253879812479485878e-16
1.667035170932974264e+00,5.650861722994449110e-16
1.667856572840307638e+00,-9.175060884658581273e-16
1.668677974747641013e+00,-4.953177625000027007e-16
1.669499376654974165e+00,-2.441623292437355985e-16
1.670320778562307540e+00,6.620680566282732826e-16
1.671142180469640914e+00,1.206174916890123683e-16
1.671963582376974067e+00,1.374768354711619622e-16
1.672784984284307441e+00,-1.645276796746752979e-16
1.673606386191640816e+00,5.383063786390529515e-17
1.674427788098974190e+00,-3.127381166534437540e-16
1.675249190006307565e+00,-3.923727662225040547e-16
1.676070591913640717e+00,3.140120542061142217e-16
1.676891993820974092e+00,-3.109220780145305341e-16
1.677713395728307466e+00,-5.873394218897098895e-16
1.678534797635640841e+00,-5.819184110272823673e-16
1.679356199542973993e+00,1.844769996484085794e-16
1.680177601450307368e+00,-4.716279450311944288e-17
1.680999003357640742e+00,-4.623038063478190907e-16
1.681820405264974116e+00,1.627522986172302843e-16
1.682641807172307269e+00,6.163689350580092707e-17
1.683463209079640643e+00,-2.509928029303942765e-17
1.684284610986974018e+00,1.164839709064113826e-16
1.685106012894307392e+00,3.172646607235707350e-17
1.685927414801640545e+00,-7.106945240642481565e-17
1.686748816708973919e+00,-2.477266438857816944e-16
1.687570218616307294e+00,-1.336550228131505591e-16
1.688391620523640668e+00,7.296680620827444841e-17
1.689213022430974043e+00,1.349560654201331644e-16
1.690034424338307195e+00,1.045780757998049371e-16
1.690855826245640570e+00,-6.024098320872584011e-17
1.691677228152973944e+00,2.724735584727633331e-17
1.692498630060307097e+00,5.826909050751782893e-17
1.693320031967640471e+00,6.858256367328618985e-17
1.694141433874973846e+00,5.905513708256981964e-17
1.694962835782307220e+00,-6.732217864777179095e-17
1.695784237689640594e+00,-9.110686380667254447e-17
1.696605639596973747e+00,-1.377275572235492351e-17
1.697427041504307121e+00,-2.383211900394699434e-17
1.698248443411640496e+00,-1.182457994367003273e-18
1.699069845318973870e+00,2.038300084272748336e-17
1.699891247226307023e+00,-1.088945556990128516e-17
1.700712649133640397e+00,4.658003583540848425e-17
1.701534051040973772e+00,1.799097979968133920e-18
1.702355452948307146e+00,-5.973276344037325991e-18
1.703176854855640299e+00,-2.882283712916933194e-17
1.703998256762973673e+00,-3.340189724202607957e-17
1.704819658670307048e+00,3.330364142014458073e-17
1.705641060577640422e+00,-7.015126869160115408e-18
1.706462462484973575e+00,-2.247517222244560520e-17
1.707283864392306949e+00,-8.856576496490964345e-17
1.708105266299640324e+00,3.705176221174485973e-17
1.708926668206973698e+00,-2.763021473943527706e-18
1.709748070114307072e+00,-1.277325684459484911e-18
1.710569472021640225e+00,-3.881951997266458454e-18
1.711390873928973599e+00,-3.926336523702583792e-17
1.712212275836306974e+00,-4.382548469093749954e-18
1.713033677743640126e+00,-1.460369504361139215e-17
1.713855079650973501e+00,-1.466086976755105742e-17
1.714676481558306875e+00,4.053899685559081423e-18
1.715497883465640250e+00,-5.188500318406216727e-18
1.716319285372973624e+00,1.703383256928397982e-18
1.717140687280306777e+00,-6.056285572868247424e-20
1.717962089187640151e+00,-1.079437612157198995e-17
1.718783491094973526e+00,-1.308962365039433029e-17
1.719604893002306900e+00,1.212104147520903785e-18
1.720426294909640053e+00,-1.401839527705867061e-17
1.721247696816973427e+00,-3.754473538704686253e-18
1.722069098724306802e+00,-8.281547004423701203e-18
1.722890500631640176e+00,-3.660241123322645340e-18
1.723711902538973328e+00,-7.812820147236852752e-18
1.724533304446306703e+00,-7.799691136554411097e-18
1.725354706353640077e+00,-3.113693114106808046e-18
1.726176108260973452e+00,6.642855888841850409e-19
1.726997510168306604e+00,-2.492394447295778748e-18
1.727818912075639979e+00,-5.290620728109563312e-18
1.728640313982973353e+00,-2.658095267602401252e-18
1.729461715890306728e+00,-2.553116121702071403e-18
1.730283117797640102e+00,-2.159113452330813261e-18
1.731104519704973255e+00,-2.750263040175509807e-18
1.731925921612306629e+00,-2.616537713627737141e-18
1.732747323519640004e+00,-1.478469539652779545e-18
1.733568725426973156e+00,-2.423943597245790602e-18
1.734390127334306531e+00,-1.219025994886747521e-18
1.735211529241639905e+00,-2.263894074884130383e-18
1.736032931148973280e+00,-2.087552403177625731e-18
1.736854333056306654e+00,-1.250855904857788026e-18
1.737675734963639806e+00,-1.141522480212979040e-18
1.738497136870973181e+00,-6.321248066681233249e-19
