freq(1/um),P(a.u.)
1.698248443411640496e+00,-1.443513548710778638e-17
1.699069845318973870e+00,1.212874947502905199e-16
1.699891247226307023e+00,1.334036657860528455e-16
1.700712649133640397e+00,5.059073684065759635e-17
1.701534051040973772e+00,4.692520176141461163e-17
1.702355452948307146e+00,3.554362004915857798e-17
1.703176854855640299e+00,3.432473963805963979e-17
1.703998256762973673e+00,1.847781198611574832e-17
1.704819658670307048e+00,3.074941356769923806e-17
1.705641060577640422e+00,4.945878318577063074e-17
1.706462462484973575e+00,6.127118703082388290e-18
1.707283864392306949e+00,2.270191235451374072e-17
1.708105266299640324e+00,3.807619562188973260e-17
1.708926668206973698e+00,-2.253160579255642296e-18
1.709748070114307072e+00,2.801243835688378009e-18
1.710569472021640225e+00,-3.328098328880552820e-18
1.711390873928973599e+00,-3.427307062827712747e-19
1.712212275836306974e+00,1.497437783715355533e-17
1.713033677743640126e+00,1.920266043072861584e-17
1.713855079650973501e+00,-1.121371037002207201e-17
1.714676481558306875e+00,2.075991726936584616e-17
1.715497883465640250e+00,1.842264896542581201e-17
1.716319285372973624e+00,1.593296105309430677e-17
1.717140687280306777e+00,1.832414168063809705e-17
1.717962089187640151e+00,2.230619576691327270e-17
1.718783491094973526e+00,7.889953084996197477e-18
1.719604893002306900e+00,1.438631859607735690e-17
1.720426294909640053e+00,5.266897188141542478e-18
1.721247696816973427e+00,2.848227694481389981e-18
1.722069098724306802e+00,-1.142812881968561763e-18
1.722890500631640176e+00,2.172439331999042537e-18
1.723711902538973328e+00,-2.460366013977725516e-19
1.724533304446306703e+00,-3.739948247148255087e-19
1.725354706353640077e+00,-3.820130172645470272e-18
1.726176108260973452e+00,-6.332539082042582077e-19
1.726997510168306604e+00,6.433145751224956621e-18
1.727818912075639979e+00,2.809267487630142377e-18
1.728640313982973353e+00,-7.014763736871204629e-18
1.729461715890306728e+00,-9.354183537584489204e-18
1.730283117797640102e+00,-1.706226276693742738e-18
1.731104519704973255e+00,5.015507073819326731e-18
1.731925921612306629e+00,3.612669552704414442e-18
1.732747323519640004e+00,1.299517079137904400e-18
1.733568725426973156e+00,7.828034066653234314e-19
1.734390127334306531e+00,1.013283842668270606e-19
1.735211529241639905e+00,-2.536559688151516278e-18
1.736032931148973280e+00,-2.177905755077099220e-18
1.736854333056306654e+00,1.745848228035032764e-18
1.737675734963639806e+00,4.116532974360984125e-18
1.738497136870973181e+00,1.783168962912200266e-18
