freq(1/um),Fp
1.648142927064307983e+00,0.000000000000000000e+00
1.648964328971641136e+00,2.014449541284403722e+01
1.649785730878974510e+00,2.130706452435603193e+00
1.650607132786307885e+00,0.000000000000000000e+00
1.651428534693641259e+00,-8.923718064866824340e-02
1.652249936600974412e+00,2.400669401857050411e-01
1.653071338508307786e+00,2.845182446103397544e-01
1.653892740415641160e+00,-1.872243752505679537e-01
1.654714142322974535e+00,0.000000000000000000e+00
1.655535544230307687e+00,0.000000000000000000e+00
1.656356946137641062e+00,0.000000000000000000e+00
1.657178348044974436e+00,0.000000000000000000e+00
1.657999749952307811e+00,0.000000000000000000e+00
1.658821151859640963e+00,0.000000000000000000e+00
1.659642553766974338e+00,1.241576188693373162e+00
1.660463955674307712e+00,0.000000000000000000e+00
1.661285357581641087e+00,0.000000000000000000e+00
1.662106759488974461e+00,4.685211267605633445e+00
1.662928161396307614e+00,0.000000000000000000e+00
1.663749563303640988e+00,0.000000000000000000e+00
1.664570965210974363e+00,-1.215601420328450977e-01
1.665392367118307515e+00,0.000000000000000000e+00
1.666213769025640890e+00,0.000000000000000000e+00
1.667035170932974264e+00,1.587442440521872611e-01
1.667856572840307638e+00,0.000000000000000000e+00
1.668677974747641013e+00,0.000000000000000000e+00
1.669499376654974165e+00,0.000000000000000000e+00
1.670320778562307540e+00,3.482559567673790268e-01
1.671142180469640914e+00,3.262247191011236058e+00
1.671963582376974067e+00,-4.217271293375394192e-01
1.672784984284307441e+00,0.000000000000000000e+00
1.673606386191640816e+00,1.701082578046324301e+01
1.674427788098974190e+00,0.000000000000000000e+00
1.675249190006307565e+00,0.000000000000000000e+00
1.676070591913640717e+00,5.105092792403970181e-01
1.676891993820974092e+00,0.000000000000000000e+00
1.677713395728307466e+00,0.000000000000000000e+00
1.678534797635640841e+00,0.000000000000000000e+00
1.679356199542973993e+00,-2.156259183073758301e+00
1.680177601450307368e+00,0.000000000000000000e+00
1.680999003357640742e+00,0.000000000000000000e+00
1.681820405264974116e+00,-1.081230743608959877e+00
1.682641807172307269e+00,-7.061455584872471825e+00
1.683463209079640643e+00,0.000000000000000000e+00
1.684284610986974018e+00,-1.323385689354275696e+00
1.685106012894307392e+00,1.185390858607432651e+00
1.685927414801640545e+00,0.000000000000000000e+00
1.686748816708973919e+00,0.000000000000000000e+00
1.687570218616307294e+00,0.000000000000000000e+00
1.688391620523640668e+00,-3.647381129271916933e+00
1.689213022430974043e+00,-1.748280277164089069e+00
1.690034424338307195e+00,-2.874522127907730429e-01
1.690855826245640570e+00,0.000000000000000000e+00
1.691677228152973944e+00,9.773999005222581138e-01
1.692498630060307097e+00,2.144726130945458775e-01
1.693320031967640471e+00,1.868343049105819498e+00
1.694141433874973846e+00,1.034064830751577846e+00
1.694962835782307220e+00,0.000000000000000000e+00
1.695784237689640594e+00,0.000000000000000000e+00
1.696605639596973747e+00,0.000000000000000000e+00
1.697427041504307121e+00,0.000000000000000000e+00
1.698248443411640496e+00,0.000000000000000000e+00
1.699069845318973870e+00,5.950423869680850686e+00
1.699891247226307023e+00,0.000000000000000000e+00
1.700712649133640397e+00,1.086103433226651038e+00
1.701534051040973772e+00,2.608262711864406924e+01
1.702355452948307146e+00,0.000000000000000000e+00
1.703176854855640299e+00,0.000000000000000000e+00
1.703998256762973673e+00,0.000000000000000000e+00
1.704819658670307048e+00,9.233048476524746695e-01
1.705641060577640422e+00,0.000000000000000000e+00
1.706462462484973575e+00,0.000000000000000000e+00
1.707283864392306949e+00,0.000000000000000000e+00
1.708105266299640324e+00,1.027648709507807068e+00
1.708926668206973698e+00,0.000000000000000000e+00
1.709748070114307072e+00,0.000000000000000000e+00
1.710569472021640225e+00,0.000000000000000000e+00
1.711390873928973599e+00,0.000000000000000000e+00
1.712212275836306974e+00,0.000000000000000000e+00
1.713033677743640126e+00,0.000000000000000000e+00
1.713855079650973501e+00,0.000000000000000000e+00
1.714676481558306875e+00,5.120974587338069206e+00
1.715497883465640250e+00,0.000000000000000000e+00
1.716319285372973624e+00,9.353714725261063734e+00
1.717140687280306777e+00,0.000000000000000000e+00
1.717962089187640151e+00,0.000000000000000000e+00
1.718783491094973526e+00,0.000000000000000000e+00
1.719604893002306900e+00,1.186887993535988883e+01
1.720426294909640053e+00,0.000000000000000000e+00
1.721247696816973427e+00,0.000000000000000000e+00
1.722069098724306802e+00,0.000000000000000000e+00
1.722890500631640176e+00,0.000000000000000000e+00
1.723711902538973328e+00,0.000000000000000000e+00
1.724533304446306703e+00,0.000000000000000000e+00
1.725354706353640077e+00,0.000000000000000000e+00
1.726176108260973452e+00,-9.532856331686324625e-01
1.726997510168306604e+00,0.000000000000000000e+00
1.727818912075639979e+00,0.000000000000000000e+00
1.728640313982973353e+00,0.000000000000000000e+00
1.729461715890306728e+00,0.000000000000000000e+00
